彖	彑𧰨 hu
䍘	罒米 sm
䍛	罒古 sg
䍡	罒鹿 sl
䍢	罒灬 sh
䍣	罒田 st
䍥	罒止 sv
䍿	习王 xw
䎀	习𠄌 xl
䎁	古习 gx
䎂	习包 xb
䎄	刀习 dx
䎅	白习 bx
䎆	习龴 xs
䎊	夂习 wx
䎋	⺧习 nx
䎌	习足 xz
䎎	习乚 xv
䎏	𠆢习 rx
䎑	习⺢ xu
䎒	习戈 xg
䎚	习心 xx
䎝	老习 lx
䎟	女而 ne
䎡	而火 eh
䎣	耒人 lr
䎤	耒口 lk
䎦	耒火 lh
䎨	耒电 ld
䎬	耒去 lq
䎭	耒口 lk
䎯	耒天 lt
䎰	耒斤 lj
䎱	耒匕 lb
䏋	肀巳 ys
䏐	⺼夬 og
䏓	⺼元 oy
䏔	⺼丑 oi
䏗	⺼气 oq
䏠	⺼立 ol
䏢	⺼皮 op
䏣	⺼且 oq
䏤	⺼口 ok
䏦	⺼舌 ou
䏧	⺼夕 ox
䏨	⺼㠯 ol
䏪	⺼耳 oe
䏬	⺼牛 on
䏯	⺼心 ox
䏰	⺼心 ox
䏱	⺼口 ok
䏴	⺼⺝ oo
䏶	⺼土 ot
䏷	⺼干 og
䏸	⺼口 ok
䏹	⺼見 oj
䏼	⺼戈 og
䏿	户⺝ ho
䐀	⺼可 ok
䐁	⺼豖 ou
䐂	⺼⺢ ou
䐅	⺼矢 ou
䐆	⺼采 oc
䐉	⺼田 ot
䐊	⺼匕 ob
䐍	⺼䒑 ob
䐏	⺼日 oo
䐓	⺼頁 oy
䐔	⺼卄 oc
䐖	⺼米 om
䐗	⺼日 oo
䐘	⺼又 oy
䐙	⺼革 og
䐚	⺼卩 oe
䐛	⺼耳 oe
䐜	⺼八 ob
䐞	⺼𢎥 og
䐡	亠肉 wr
䐣	⺼貝 ob
䐤	⺼工 og
䐥	⺼习 ox
䐧	⺼口 ok
䐬	⺼曰 oo
䐭	⺼巾 oj
䐯	⺼糸 ox
䐲	⺼白 ob
䐳	⺼魚 oy
䐵	⺼八 ob
䐼	⺼糸 ox
䐿	⺼大 od
䑂	⺼八 ob
䑅	⺼夕 ox
䑇	⺼貝 ob
䑈	⺼木 om
䑉	⺼女 on
䑊	⺼貝 ob
䑍	⺼女 on
䑎	⺼韭 oj
䑑	臣夫 if
䑘	臼工 jg
䑚	舌月 uo
䑟	爫王 vw
䑦	舟句 vj
䑧	舟寸 vc
䑨	舟也 vy
䑪	舟口 vk
䑭	舟工 vg
䑱	舟㔾 vv
䑲	舟十 vu
䑳	舟卄 vc
䑴	舟八 vb
䑶	舟⺝ vo
䑿	舟百 vb
䒀	舟寸 vc
䒁	舟白 vb
䒂	舟寸 vc
䒃	舟口 vk
䒅	舟目 vo
䒆	舟攵 vw
䒇	舟田 vt
䒌	冖巴 bb
䒍	亠巴 wb
䒎	艹巴 cb
䒏	丷巴 bb
䒐	艹巴 cb
䒓	艹丂 ck
䒔	艹八 cb
䒕	艹小 cx
䒜	艹牛 cn
䒟	艹丹 cd
䒠	艹丰 cf
䒢	艹卩 ce
䒤	艹日 co
䒧	艹去 cq
䒨	艹矢 cu
䒩	艹禾 ch
䒫	艹弋 cy
䒬	艹示 cu
䒭	艹寸 cc
䒲	艹七 cq
䒳	艹木 cm
䒴	艹月 co
䒵	艹子 cz
䒷	艹舌 cu
䒸	艹皿 cm
䒹	艹耒 cl
䒺	艹糸 cx
䒽	艹乂 cx
䒿	艹月 co
䓂	艹口 ck
䓃	艹巴 cb
䓄	艹斤 cj
䓇	艹赤 ci
䓈	艹殳 cu
䓉	艹⻏ ce
䓊	艹口 ck
䓌	艹心 cx
䓍	艹干 cg
䓐	艹屯 ct
䓒	艹田 ct
䓓	艹寸 cc
䓕	艹元 cy
䓘	艹口 ck
䓚	艹且 cq
䓜	艹氐 cu
䓝	艹皿 cm
䓞	艹犬 cq
䓟	艹口 ck
䓡	艹口 ck
䓢	艹古 cg
䓣	艹入 cr
䓤	艹心 cx
䓥	入十 ru
䓦	艹八 cb
䓭	艹刂 cd
䓮	艹攵 cw
䓱	艹木 cm
䓶	艹刂 cd
䓺	艹大 cd
䓽	艹己 cj
䓾	艹女 cn
䔁	艹木 cm
䔂	艹辛 cx
䔃	艹且 cq
䔆	艹里 cl
䔈	艹貝 cb
䔎	艹束 cu
䔏	艹口 ck
䔒	艹口 ck
䔓	艹午 cw
䔔	艹儿 ce
䔕	艹甫 cf
䔖	艹夂 cw
䔘	艹且 cq
䔛	艹頁 cy
䔜	艹冉 cr
䔝	艹糸 cx
䔟	艹夕 cx
䔠	艹⺝ co
䔡	艹魚 cy
䔢	艹丂 ck
䔣	艹牛 cn
䔤	艹百 cb
䔧	艹木 cm
䔪	艹人 cr
䔬	艹共 cg
䔯	艹古 cg
䔰	艹田 ct
䔳	艹灬 ch
䔶	艹龰 cz
䔺	艹月 co
䔿	艹寸 cc
䕀	艹欠 cq
䕁	艹木 cm
䕅	艹又 cy
䕆	艹刂 cd
䕇	艹鬼 cg
䕈	艹木 cm
䕋	艹口 ck
䕍	艹口 ck
䕑	艹女 cn
䕒	艹口 ck
䕓	艹示 cu
䕕	艹又 cy
䕘	艹頁 cy
䕛	艹人 cr
䕞	艹良 cl
䕠	艹殳 cu
䕡	艹口 ck
䕢	艹工 cg
䕤	艹⻏ ce
䕦	艹女 cn
䕨	艹糸 cx
䕩	艹小 cx
䕪	艹干 cg
䕫	艹夂 cw
䕭	艹火 ch
䕮	艹米 cm
䕰	艹田 ct
䕱	艹頁 cy
䕲	艹示 cu
䕳	艹八 cb
䕴	艹灬 ch
䕷	艹糸 cx
䕸	艹口 ck
䕺	艹又 cy
䕻	艹鹿 cl
䕽	艹虫 ci
䕾	艹攵 cw
䕿	艹鳥 cn
䖁	艹心 cx
䖃	艹口 ck
䖅	艹人 cr
䖎	⻖几 ej
䖓	出几 ij
䖔	去几 qj
䖞	虫寸 ic
䖟	亡虫 wi
䖥	矛虫 mi
䖦	虫出 ii
䖨	虫石 iu
䖪	止虫 vi
䖫	虫干 ig
䖮	虫口 ik
䖯	土虫 ti
䖲	虫日 io
䖳	虫七 iq
䖵	虫虫 ii
䖻	虫𫶧 ii
䖼	虫卩 ie
䖿	禾虫 hi
䗁	虫可 ik
䗂	虫几 ij
䗃	虫戈 ig
䗈	虫目 io
䗊	虫火 ih
䗋	虫木 im
䗍	彑虫 hi
䗐	方虫 fi
䗑	虫立 il
䗔	虫矢 iu
䗜	虫田 it
䗝	礻虫 pi
䗟	匚虫 ki
䗠	方虫 fi
䗡	虫灬 ih
䗢	虫口 ik
䗥	虫龰 iz
䗨	虫魚 iy
䗫	虫木 im
䗮	虫乂 ix
䗰	虫貝 ib
䗲	虫㐄 if
䗷	虫心 ix
䗹	虫心 ix
䗺	廴虫 zi
䗻	虫卩 ie
䗾	虫灬 ih
䗿	虫丁 id
䘀	丿虫 pi
䘁	戈虫 gi
䘃	虫土 it
䘆	虫心 ix
䘇	文虫 wi
䘈	虫力 il
䘌	匚虫 ki
䘒	丿夂 pw
䘓	丿臼 pj
䘙	彳巾 rj
䘚	衣十 yu
䘝	衤弋 py
䘟	衤弔 pd
䘡	匕衣 by
䘣	衤匕 pb
䘤	衤术 pu
䘦	衤匕 pb
䘨	衤父 pf
䘩	衤日 po
䘫	女衣 ny
䘬	衤十 pu
䘭	衤土 pt
䘰	衤正 pv
䘵	衤⺢ pu
䘹	衤十 pu
䘺	衤龰 pz
䘻	衤⺝ po
䘼	衤㔾 pv
䘽	衤儿 pe
䘿	衤出 pi
䙀	衤月 po
䙁	衤戈 pg
䙃	衤月 po
䙅	衤女 pn
䙆	衤天 pt
䙈	衤矢 pu
䙉	衤目 po
䙊	衤巾 pj
䙌	衤贝 pb
䙎	衤大 pd
䙒	衤田 pt
䙓	衤去 pq
䙕	衤龰 pz
䙙	衤牛 pn
䙜	衤丰 pf
䙠	衤欠 pq
䙡	衤貝 pb
䙢	衤日 po
䙤	衤口 pk
䙥	衤龴 ps
䙦	衤夕 px
䙬	衤女 pn
䙯	衤足 pz
䙱	衤虫 pi
䙳	覀火 xh
䙵	覀土 xt
䙷	見寸 jc
䙸	見寸 jc
䙺	火見 hj
䙼	刀見 dj
䙽	大見 dj
䙾	宀見 bj
䙿	未見 wj
䚂	赤見 ij
䚄	彐見 ej
䚅	來見 lj
䚆	艹見 cj
䚉	丰見 fj
䚋	口見 kj
䚍	龶見 fj
䚐	矢見 uj
䚑	⺫見 sj
䚒	立見 lj
䚔	宀見 bj
䚖	雨見 yj
䚗	⺈公 dg
䚚	⺈儿 de
䚛	⺈口 dk
䚝	⺈十 du
䚞	⺈來 dl
䚠	⺈匕 db
䚡	⺈心 dx
䚣	⺈龰 dz
䚥	⺈𢎥 dg
䚦	⺈几 dj
䚧	⺈彡 dp
䚨	⺈殳 du
䚩	⺈口 dk
䚬	⺈㐄 df
䚯	訁刂 yd
䚰	訁匕 yb
䚱	訁小 yx
䚳	訁支 yv
䚴	訁月 yo
䚹	訁匕 yb
䚺	訁攵 yw
䚻	𱼀口 xk
䚿	訁欠 yq
䛀	訁又 yy
䛃	訁元 yy
䛇	訁口 yk
䛈	訁矢 yu
䛌	訁包 yb
䛏	訁匕 yb
䛒	工口 gk
䛔	訁而 ye
䛕	訁乀 yn
䛙	訁木 ym
䛛	訁口 yk
䛜	訁㐅 yx
䛝	訁山 yu
䛞	訁干 yg
䛟	訁人 yr
䛤	訁足 yz
䛥	訁巾 yj
䛦	訁谷 yg
䛧	訁米 ym
䛨	訁辛 yx
䛭	訁干 yg
䛮	訁口 yk
䛯	訁古 yg
䛰	訁匕 yb
䛱	訁心 yx
䛲	訁巾 yj
䛳	訁电 yd
䛴	訁可 yk
䛵	訁又 yy
䛶	訁木 ym
䛷	訁㔾 yv
䛸	訁占 yv
䛹	訁𧰨 yu
䛻	訁目 yo
䛼	訁土 yt
䛾	訁糸 yx
䜀	訁止 yv
䜁	訁大 yd
䜄	訁牛 yn
䜆	广口 gk
䜈	訁果 yg
䜊	訁曰 yo
䜋	訁貝 yb
䜌	糸糸 xx
䜎	訁力 yl
䜐	⻖口 ek
䜑	訁心 yx
䜒	訁大 yd
䜓	訁木 ym
䜖	訁貝 yb
䜗	訁心 yx
䜘	訁攵 yw
䜙	訁灬 yh
䜛	訁儿 ye
䜜	訁目 yo
䜝	訁幺 yy
䜟	訁韭 yj
䜠	訁貝 yb
䜡	訁夂 yw
䜢	訁心 yx
䜧	讠止 yv
䜩	讠灬 yh
䜫	谷工 gg
䜮	谷牛 gn
䜱	谷又 gy
䜴	豆又 dy
䝁	火䒑 hb
䝊	豕龰 uz
䝡	豸入 vr
䝤	豸小 vx
䝥	豸十 vu
䝧	貝匀 by
䝩	貝彡 bp
䝫	貝乍 bv
䝬	貝主 bv
䝭	貝句 bj
䝮	貝玄 bx
䝯	貝也 by
䝰	貝寸 bc
䝳	歺貝 db
䝶	貝小 bx
䝷	矢貝 ub
䝸	貝支 bv
䝹	貝㔾 bv
䝼	貝⺝ bo
䞀	貝矢 bu
䞁	貝女 bn
䞃	貝攵 bw
䞄	方貝 fb
䞈	貝爲 bw
䞉	貝貝 bb
䞊	貝目 bo
䞋	貝見 bj
䞌	贝舌 bu
䞍	贝⺝ bo
䞐	贝日 bo
䞑	赤工 ig
䞒	赤口 ik
䞕	赤而 ie
䞖	土弋 ty
䞚	土支 tv
䞝	土玉 ty
䞟	土白 tb
䞢	土乍 tv
䞤	土句 tj
䞥	土月 to
䞦	土口 tk
䞧	土口 tk
䞨	土土 tt
䞩	土口 tk
䞫	土口 tk
䞯	土子 tz
䞰	土赤 ti
䞱	土谷 tg
䞵	土又 ty
䞶	土勿 tw
䞷	土出 ti
䞸	土口 tk
䞹	土王 tw
䞻	土力 tl
䞼	土𧰨 tu
䞽	土糸 tx
䞾	土几 tj
䟂	土又 ty
䟄	土貝 tb
䟇	土人 tr
䟉	土虫 ti
䟊	土豕 tu
䟋	土口 tk
䟏	土木 tm
䟐	土止 tv
䟑	土卄 tc
䟖	𧾷山 zu
䟘	𧾷几 zj
䟙	𧾷刀 zd
䟛	𧾷巾 zj
䟜	𧾷内 zn
䟝	𧾷殳 zu
䟢	𧾷小 zx
䟦	𧾷又 zy
䟧	𧾷田 zt
䟩	𧾷去 zq
䟭	𧾷乍 zv
䟮	𧾷犬 zq
䟯	𧾷舌 zu
䟶	𧾷人 zr
䟹	𧾷寸 zc
䟺	𧾷貝 zb
䟻	𧾷朩 zm
䟼	𧾷止 zv
䟾	𧾷又 zy
䟿	𧾷⺢ zu
䠀	𧾷口 zk
䠂	木足 mz
䠃	𧾷入 zr
䠄	𧾷八 zb
䠅	𧾷禾 zh
䠇	𧾷出 zi
䠈	𧾷隶 zl
䠊	𧾷非 zf
䠋	𧾷十 zu
䠍	𧾷又 zy
䠎	𧾷土 zt
䠏	𧾷天 zt
䠐	𧾷犬 zq
䠑	𧾷土 zt
䠒	𧾷月 zo
䠗	𧾷犬 zq
䠘	𧾷匕 zb
䠙	𧾷方 zf
䠛	𧾷缶 zf
䠜	𧾷耳 ze
䠟	土足 tz
䠡	𧾷且 zq
䠣	𧾷共 zg
䠤	𧾷十 zu
䠥	𧾷攵 zw
䠦	𧾷日 zo
䠧	𧾷日 zo
䠨	𧾷口 zk
䠬	𧾷⻏ ze
䠭	𧾷貝 zb
䠮	𧾷馬 zm
䠯	𧾷卄 zc
䠱	𧾷虫 zi
䡈	車乂 ix
䡌	車厶 is
䡗	工車 gi
䡚	車儿 ie
䡜	車土 it
䡨	⺶車 yi
䡶	車辛 ix
䡻	車方 if
䡼	車口 ik
䢁	车月 io
䢈	辰日 io
䢊	辶子 zz
䢋	辶丌 zw
䢌	辶巾 zj
䢍	辶方 zf
䢒	辶父 zf
䢓	辶于 zy
䢔	辶口 zk
䢙	辶貝 zb
䢛	辶口 zk
䢞	辶木 zm
䢟	辶攵 zw
䢢	辶口 zk
䢣	辶口 zk
䢦	辶十 zu
䢩	辶攵 zw
䢫	辶月 zo
䢮	辶田 zt
䢱	辶貝 zb
䢲	辶又 zy
䢳	几⻏ je
䢵	云⻏ ye
䢽	共巴 gb
䢾	⺧⻏ ne
䣀	⺈⻏ de
䣁	习⻏ xe
䣂	耒⻏ le
䣄	𠆢⻏ re
䣅	辰⻏ ie
䣆	巠⻏ je
䣈	口巴 kb
䣊	⺌⻏ xe
䣌	广⻏ ge
䣍	大⻏ de
䣐	艹⻏ ce
䣑	厂⻏ ie
䣙	山⻏ ue
䣚	申⻏ ue
䣜	虍⻏ he
䣝	尸⻏ ue
䣠	夫⻏ fe
䣡	𦍌⻏ ye
䣢	耒⻏ le
䣣	龸⻏ xe
䣤	目⻏ oe
䣥	酉匕 yb
䣦	酉力 yl
䣧	酉弋 yy
䣫	酉支 yv
䣬	酉戈 yg
䣭	酉犬 yq
䣮	酉又 yy
䣯	酉且 yq
䣱	酉句 yj
䣴	酉儿 ye
䣵	酉耳 ye
䣶	酉舌 yu
䣹	酉戈 yg
䣼	酉小 yx
䣾	酉且 yq
䤂	酉木 ym
䤃	酉日 yo
䤄	酉面 ym
䤅	酉刂 yd
䤆	酉天 yt
䤉	酉皿 ym
䤊	酉耳 ye
䤏	酉手 yu
䤑	酉八 yb
䤒	酉人 yr
䤕	酉木 ym
䤖	酉氺 yu
䤗	立酉 ly
䤘	酉韭 yj
䤙	酉虫 yi
䤚	⺼里 ol
䤝	金卩 je
䤟	金几 jj
䤠	金止 jv
䤡	金冉 jr
䤥	金㔾 jv
䤦	金戈 jg
䤧	金口 jk
䤩	金七 jq
䤪	金木 jm
䤭	金巾 jj
䤲	金赤 ji
䤵	金非 jf
䤶	金电 jd
䤷	金女 jn
䤸	金𧰨 ju
䤻	金月 jo
䤼	金水 ju
䥀	金虫 ji
䥂	金豕 ju
䥄	金日 jo
䥅	十金 uj
䥇	金习 jx
䥎	金⺝ jo
䥏	金卩 je
䥔	金米 jm
䥕	金攵 jw
䥖	金大 jd
䥗	金欠 jq
䥘	金日 jo
䥛	金糸 jx
䥝	金匕 jb
䥞	金攵 jw
䥡	金木 jm
䥤	金包 jb
䥥	金八 jb
䥧	金目 jo
䥩	金几 jj
䥪	金灬 jh
䥮	金卩 je
䥯	金匕 jb
䥱	金灬 jh
䥲	金欠 jq
䥵	金兀 jw
䥶	金止 jv
䦂	钅习 jx
䦅	钅口 jk
䦆	钅又 jy
䦊	E小 ex
䦣	門口 mk
䦴	門干 mg
䦷	门人 mr
䦹	⻖十 eu
䦺	⻖丁 ed
䦻	⻖子 ez
䦼	⻖夬 eg
䦾	丿允 py
䧁	⻖句 ej
䧂	⻖口 ek
䧃	⻖田 et
䧄	⻖口 ek
䧅	⻖夷 ey
䧆	⻖共 eg
䧇	⻖衣 ey
䧉	⻖里 el
䧊	⻖口 ek
䧋	⻖見 ej
䧍	⻖谷 eg
䧒	⻖來 el
䧔	⻖心 ex
䧖	⻖戈 eg
䧗	⻖夂 ew
䧘	⻖𧰨 eu
䧚	⻖口 ek
䧛	⻖方 ef
䧜	⻖口 ek
䧝	⻖虫 ei
䧞	⻖馬 em
䧟	⻖臼 ej
䧠	⻖寸 ec
䧥	⻖心 ex
䧦	⻖爲 ew
䧪	⻖女 en
䧮	⻖心 ex
䧯	⻖兔 et
䧰	⻖糸 ex
䧶	亻六 rl
䨌	雨元 yy
䨎	雨厶 ys
䨏	雨欠 yq
䨐	雨口 yk
䨑	雨夷 yy
䨒	雨习 yx
䨓	雨口 yk
䨔	雨光 yg
䨖	雨月 yo
䨗	雨子 yz
䨘	雨見 yj
䨝	雨⺝ yo
䨣	雨革 yg
䨤	雨由 yy
䨦	雨方 yf
䨪	雨里 yl
䨬	雨木 ym
䨮	雨彐 ye
䨱	雨夂 yw
䨴	雨寸 yc
䨵	雨十 yu
䨷	雨⺼ yo
䨸	雨心 yx
䨺	雨云 yy
䨻	雨田 yt
䨿	天非 tf
䩍	面小 mx
䩒	革于 gy
䩓	革勾 gg
䩔	革殳 gu
䩕	革卩 ge
䩗	革月 go
䩙	革玄 gx
䩞	革占 gv
䩟	革夷 gy
䩡	革人 gr
䩣	革朩 gm
䩤	革見 gj
䩥	革正 gv
䩦	亻革 rg
䩧	革口 gk
䩩	革㔾 gv
䩫	革入 gr
䩮	革⺢ gu
䩱	革刂 gd
䩴	革月 go
䩵	革車 gi
䩶	革虫 gi
䩸	革耳 ge
䩻	革馬 gm
䩼	革丰 gf
䩾	革灬 gh
䪂	革朿 gu
䪄	革八 gb
䪅	革虫 gi
䪆	革䒑 gb
䪈	革㠯 gl
䪊	革龍 gl
䪋	革貝 gb
䪌	革兔 gt
䪕	𫝀米 wm
䪙	𫝀寸 wc
䪚	𫝀习 wx
䪦	立工 lg
䪬	立子 lz
䪭	立日 lo
䪱	己頁 jy
䪷	句頁 jy
䪺	去頁 qy
䪻	厶頁 sy
䪼	出頁 iy
䪽	口頁 ky
䫁	自頁 zy
䫂	夕頁 xy
䫃	辰頁 iy
䫄	丷頁 by
䫅	宀頁 by
䫆	成頁 iy
䫇	彡冄 po
䫈	山頁 uy
䫏	卄頁 cy
䫐	木頁 my
䫔	丰頁 fy
䫕	亠頁 wy
䫖	卄頁 cy
䫘	曰頁 oy
䫛	亻頁 ry
䫞	𦍌頁 yy
䫟	口頁 ky
䫡	兼頁 jy
䫣	爫頁 vy
䫤	冖頁 by
䫥	鬼頁 gy
䫨	龶頁 fy
䫩	厶頁 sy
䫪	大頁 dy
䫫	申頁 uy
䫬	兂頁 wy
䫭	中頁 vy
䫮	𫜹頁 ey
䫱	而頁 ey
䫲	戊頁 wy
䫳	⺫頁 sy
䫴	木頁 my
䫶	木頁 my
䫸	風刀 fd
䫹	風工 fg
䫻	風日 fo
䫼	風夬 fg
䬀	風力 fl
䬁	風匕 fb
䬂	風𠄌 fl
䬃	風立 fl
䬆	風刂 fd
䬇	丷風 bf
䬈	風兄 fx
䬉	風赤 fi
䬊	風人 fr
䬍	風心 fx
䬐	風女 fn
䬑	風⺝ fo
䬓	風日 fo
䬔	風刂 fd
䬕	風風 ff
䬖	風王 fw
䬝	風八 fb
䬞	風寸 fc
䬟	風刂 fd
䬦	飠殳 uu
䬧	飠元 uy
䬬	飠央 uy
䬮	飠人 ur
䬯	飠占 uv
䬰	飠口 uk
䬳	飠半 ub
䬴	飠末 uw
䬵	飠人 ur
䬷	飠夕 ux
䬹	飠土 ut
䬻	飠戋 uj
䬽	飠兄 ux
䭀	飠十 uu
䭂	飠巴 ub
䭃	飠心 ux
䭅	飠古 ug
䭇	飠口 uk
䭈	飠聿 uy
䭉	飠月 uo
䭊	飠央 uy
䭋	飠木 um
䭍	飠皿 um
䭐	飠心 ux
䭑	飠兼 uj
䭖	飠灬 uh
䭗	飠儿 ue
䭘	飠小 ux
䭚	飠里 ul
䭛	飠攵 uw
䭝	飠日 uo
䭞	飠干 ug
䭟	飠木 um
䭠	飠兼 uj
䭢	飠丁 ud
䭤	飠㠯 ul
䭦	飠寸 uc
䭧	飠糸 ux
䭩	飠非 uf
䭪	饣里 ul
䭫	匕自 bz
䭬	匕𦣻 bb
䭭	丷頁 by
䭮	E自 ez
䭱	禾小 hx
䮑	馬寸 mc
䮚	馬夂 mw
䮜	馬木 mm
䮢	馬臼 mj
䮰	馬古 mg
䮸	𦥑馬 jm
䮽	馬灬 mh
䯅	马又 my
䯈	冎元 gy
䯉	冎欠 gq
䯊	冎可 gk
䯋	冎又 gy
䯍	冎龴 gs
䯎	冎干 gg
䯏	冎舌 gu
䯐	冎肉 gr
䯓	冎土 gt
䯔	冎七 gq
䯗	冎土 gt
䯘	冎元 gy
䯚	冎⺝ go
䯛	冎㔾 gv
䯜	冎勿 gw
䯝	冎月 go
䯞	冎口 gk
䯟	冎豕 gu
䯡	冎兼 gj
䯢	广⺼ go
䯣	冎貝 gb
䯤	冎日 go
䯥	冎灬 gh
䯨	亠大 wd
䯪	亠頁 wy
䯫	日口 ok
䯺	E口 ek
䯽	E口 ek
䰊	E寸 ec
䰓	E方 ef
䰟	云鬼 yg
䰡	鬼夫 gf
䰣	鬼乂 gx
䰥	戈鬼 gg
䰦	鬼十 gu
䰧	鬼几 gj
䰨	鬼目 go
䰩	耂鬼 lg
䰪	人鬼 rg
䰫	鬼兀 gw
䰭	而鬼 eg
䰯	鬼疋 gz
䰰	雨鬼 yg
䰱	雨鬼 yg
䰷	魚丰 yf
䰹	魚戈 yg
䰻	魚攵 yw
䰾	魚巴 yb
䰿	魚也 yy
䱂	魚力 yl
䱃	魚夫 yf
䱅	魚末 yw
䱆	魚子 yz
䱈	魚示 yu
䱉	魚且 yq
䱊	魚米 ym
䱋	魚共 yg
䱍	魚亙 yh
䱒	魚巴 yb
䱓	魚𡈼 yw
䱔	魚攵 yw
䱖	魚丨 yl
䱗	歺魚 dy
䱚	魚⺢ yu
䱜	魚日 yo
䱝	魚十 yu
䱞	魚示 yu
䱟	魚古 yg
䱠	魚戈 yg
䱣	魚十 yu
䱥	牛魚 ny
䱨	魚刂 yd
䱬	魚⺝ yo
䱭	魚亙 yh
䱮	魚大 yd
䱯	矛魚 my
䱰	魚重 yv
䱱	魚巾 yj
䱲	魚𧰨 yu
䱵	魚习 yx
䱶	魚⻏ ye
䱸	魚又 yy
䱹	魚工 yg
䱻	魚⺼ yo
䱽	魚口 yk
䱾	魚女 yn
䲀	土魚 ty
䲁	魚寸 yc
䲂	魚疋 yz
䲃	魚果 yg
䲄	魚攵 yw
䲅	魚見 yj
䲊	魚月 yo
䲋	魚曰 yo
䲌	魚欠 yq
䲎	魚攵 yw
䲏	魚力 yl
䲐	魚力 yl
䲒	魚牛 yn
䲔	魚畺 yj
䲕	魚日 yo
䲖	魚寸 yc
䲙	魚卩 ye
䲚	魚貝 yb
䲛	魚目 yo
䲞	鱼立 yl
䲣	虍攵 hw
䲧	土鳥 tn
䲨	工鳥 gn
䲪	大鳥 dn
䲮	元鳥 yn
䲰	云鳥 yn
䲳	亠鳥 wn
䲴	火鳥 hn
䲸	介鳥 jn
䲺	甘鳥 gn
䲻	玄鳥 xn
䲽	石鳥 un
䲾	工鳥 gn
䲿	尸鳥 un
䳂	刀鳥 dn
䳃	鳥㔾 nv
䳄	止鳥 vn
䳆	白鳥 bn
䳉	冬鳥 dn
䳋	虫鳥 in
䳍	共鳥 gn
䳎	臼鳥 jn
䳏	土鳥 tn
䳐	冫鳥 dn
䳑	𠂇鳥 un
䳓	老鳥 ln
䳔	臼鳥 jn
䳕	爫鳥 vn
䳚	日鳥 on
䳜	𠆢鳥 rn
䳞	𡗗鳥 in
䳟	日鳥 on
䳠	千鳥 qn
䳢	卄鳥 cn
䳨	白鳥 bn
䳪	山鳥 un
䳬	革鳥 gn
䳮	⺼鳥 on
䳯	重鳥 vn
䳰	亻鳥 rn
䳱	矛鳥 mn
䳲	扌鳥 fn
䳳	出鳥 in
䳷	彳鳥 rn
䳸	广鳥 gn
䳺	𠆢鳥 rn
䳽	山鳥 un
䳿	𱼀鳥 xn
䴀	立鳥 ln
䴁	宀鳥 bn
䴃	土鳥 tn
䴄	爫鳥 vn
䴆	业鳥 yn
䴇	雨鳥 yn
䴊	𦍌鳥 yn
䴏	廿鳥 cn
䴐	宀鳥 bn
䴑	田鳥 tn
䴒	雨鳥 yn
䴚	占几 vj
䴛	占⺝ vo
䴜	占鬼 vg
䴝	占又 vy
䴠	鹿夭 ly
䴡	严匕 yb
䴢	鹿木 lm
䴥	鹿口 lk
䴦	鹿口 lk
䴩	鹿示 lu
䴪	鹿⺢ lu
䴫	鹿龴 ls
䴬	來弋 ly
䴮	來山 lu
䴰	來戈 lg
䴱	來匕 lb
䴲	來末 lw
䴳	來八 lb
䴴	來占 lv
䴶	來丰 lf
䴷	來元 ly
䴹	來果 lg
䴼	來戈 lg
䴽	來十 lu
䴾	來工 lg
䴿	來豕 lu
䵁	來寸 lc
䵃	來八 lb
䵄	來䒑 lb
䵇	广攵 gw
䵈	彳木 rm
䵉	广刂 gd
䵋	卄月 co
䵌	卄人 cr
䵎	卄而 ce
䵏	卄彡 cp
䵐	卄十 cu
䵖	臣氺 iu
䵗	禾田 ht
䵘	禾勿 hw
䵙	禾夕 hx
䵡	天灬 th
䵫	宀灬 bh
䵶	句电 jd
䵷	土电 td
䵻	爿心 px
䵽	士去 tq
䵾	亻支 rv
䵿	士占 tv
䶀	士口 tk
䶄	臼平 jp
䶅	臼口 jk
䶇	臼𠄠 je
䶌	自包 zb
䶎	自口 zk
䶐	自日 zo
䶒	亠女 wn
䶕	止巴 vb
䶗	止可 vk
䶘	止立 vl
䶚	止虫 vi
䶜	止口 vk
䶝	止人 vr
䶞	止八 vb
䶡	止刂 vd
䶤	止⺼ vo
䶦	止貝 vb
䶧	止兀 vw
䶫	止攵 vw
䶳	𠆢几 rj
䶵	𠆢几 rj
丟	一去 aq
丳	口丨 kl
丶	丶丶 dd
乹	十乚 uv
亐	一㇉ av
亖	二二 ee
亗	山二 ue
亠	丶一 da
亪	亠乁 wn
仈	亻八 rb
仏	亻厶 rs
仐	𠆢十 ru
仚	𠆢山 ru
仜	亻工 rg
仠	亻干 rg
仦	亻小 rx
仮	亻又 ry
仴	亻月 ro
仸	亻夭 ry
仹	亻丰 rf
仼	亻王 rw
伀	亻公 rg
伆	亻勿 rw
伇	亻殳 ru
伌	亻㔾 rv
伔	亻几 rj
伕	亻夫 rf
伖	亻又 ry
伝	亻云 ry
伡	人车 ri
伨	亻匀 ry
伩	亻文 rw
伮	亻又 ry
伵	亻四 rs
伹	亻且 rq
伻	亻平 rp
伿	亻只 rv
佀	亻㠯 rl
佂	亻正 rv
佄	亻甘 rg
佅	亻未 rw
佇	亻丁 rd
佈	亻巾 rj
佉	亻去 rq
佊	亻皮 rp
佋	亻口 rk
